Standard ID,Title,Discipline,Source,Local File,Status
DEP 30.10.60.18-GEN,SP-1174 Specification for Welding of Class 2 & Class 3 Pipelines Ver. 2.0,Welding / NDE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.60.18,Welding of Metals,Welding / NDE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.60.30,Welding on Pressurised Pipes,Welding / NDE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.60.31,Oxidation of Stainless Steel Weldments,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 61.40.20.30,Welding of Pipelines and Related Facilities,Welding / NDE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.55.03.30,Validation of NDE for Fabrication Inspection,Welding / NDE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 61.10.08.11,Field Inspection prior to Commissioning of Mechanical Equipment,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 01.00.01.30,"Definition & Determination of Temperature, Pressure and Toxicity Levels",Process / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 01.00.02.12,Preparation of Safeguarding Memoranda & Process Safeguarding Flow Schemes,Process / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 20.04.10.10,Glycol Type Gas Dehydration System,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 20.05.50.10,Heat Transfer Fluid (HTF) Systems,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 20.05.60.10,Fuel Systems,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 20.21.00.31,Fouling Resistance For Heat Transfer Equipment,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.05.10.30,Nitrogen / Oxygen Supply & Distribution System,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.10.05.11,Plant Model Construction & Review,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.75.10.10,"Steam, Condensate and Boiler Feed Water Systems",Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.22.05.11,Gas/Liquid Separators - Type Selection and Design Rules,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.22.05.12,Liquid/Liquid and Gas/Liquid/Liquid Separators - Type Selection and Design Rules,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 37.05.10.11,Diesel Oil Systems,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.10.10.31,Breathing Air & Supply Systems NEW REQUIREMENT - TBC,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.45.10.10,"Design of Pressure Relief, Flare and Vent Systems",Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.45.10.11,Overpressure and Under-pressure - Prevention and Protection,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.45.10.12,Emergency Depressuring and Sectionalizing,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.45.11.12,Flare Details,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.64.10.10-GEN,Title not available in source guide,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,assets/standards/CODE_AND_STANDARD/MANUAL ELECTRICAL ENGINEERING GUIDELINES DEP 33.64.10.10-Gen.pdf,Available in Standards Library
DEP 33.65.40.31-GEN,Title not available in source guide,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.66.05.31-GEN,Title not available in source guide,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 33.67.51.31-GEN,Title not available in source guide,General,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
