Standard ID,Title,Discipline,Source,Local File,Status
DEP 31.21.01.36,Heat Exchangers for Packaged Equipment - Design & Fabrication,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.70.10,Air-Cooled Heat Exchangers; Selection and Application,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.21.70.31,Air-cooled Heat Exchangers,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.22.10.35,Manufacturing Report for Pressure Vessels,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.22.20.31,Pressure Vessels - Based on ASME Section VIII,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.22.30.14,Glass-Fibre Reinforced Plastic Vessels,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.24.00.30,Fired Heaters,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.24.00.31,Calculation of Heater-Tube Thickness,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.24.40.12,Fabric Expansion Joints,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.27.21.10,Filters for Removing Particles from Hydroprocessor Feeds,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.36.10.30,Hydraulic Systems for the Operation of On/Off Valves in Protective Functions,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.37.00.11,nstrument Air Supply,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.10,Piping Classes - Basis of Design,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.11,Piping - General Requirements,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.12,Piping Classes - Refining And Chemicals,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.13,Compilation of Bill of Material for Piping Isometrics,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.15,Piping Classes - Exploration and Production,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.21,Compilation of a Specification For Piping Systems,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.38.01.29,Pipe Supports,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.46.00.31,Acoustic Insulation for Piping,Materials / Corrosion,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.51.01.31,Vertical Steel Storage Tanks - Selection & Design,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.51.11.30,Mounded Horizontal Cylindrical Vessels for Pressurised Storage of LPG at,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 34.51.90.10,Demolition of Storage Tanks,Civil / Structural,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 70.08.10.11,Mechanical Maintenance Equipment and Tools,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 70.10.80.11,Cleaning of Equipment,Maintenance / Preservation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 74.00.10.10,Shop & Field Pressure Testing of Piping Systems,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.36.00.30,"Relief Devices - Selection, Sizing and Specification",Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.46.30.11,nterlocking Systems for Safety/Relief Valves,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.02.30-GEN,Ver. 0,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.25.00.10,Hoisting Facilities And Weather Protection For Rotating Equipment,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.10,nstallation of Rotating Equipment - Amendments /Supplements to API RP 686,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.30,Oil Mist Lubrication Systems,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.32,"Special Purpose Gear Units for Petroleum, Chemical & Gas Industry Services",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.33,Shaft Sealing Systems for Centrifugal and Rotary Pumps,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.36,Flexible Couplings for Mechanical Power Transmission - Special Purpose Applications,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.39,Shaft Sealing Systems for Centrifugal and Rotary Pumps,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.00.41,"Gears - Selection, Testing & Installation",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.02.11,"Pumps - Selection, Testing & Installation",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.02.30,Centrifugal Pumps,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.06.30,Centrifugal Submerged Motor Pumps (in Refrigerated Product or Pressurised,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.12.30,Reciprocating Positive Displacement Pumps and Metering Pumps,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.22.11,Positive Displacement Pumps - Rotary,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.40.10,"Compressors Selection, Testing & Installation",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.40.30,"Axial, Centrifugal & Expander Compressors",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.40.31,Reciprocating Compressors,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.40.33,"Packaged, Integrally Geared, Centrifugal Plant and Instrument Air Compressors",Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.42.30,Liquid Ring Vacuum Pumps And Compressors,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.47.30,Centrifugal Fans,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.47.31,"Centrifugal fans for petroleum, chemical, and gas industry services",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.47.32,"Fans - Selection, Testing & Installation",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.60.32,"Lubrication, Shaft-Sealing and Control Oil System and Auxiliaries",Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.60.33,"Lubrication, Shaft-Sealing and Oil-Control System - Selection, Testing & Installation",Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.70.11,"Combustion Gas Turbines - Selection, Testing & Installation",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.70.31,"Gas Turbines for the Petroleum, Chemical and Gas Industry Services",Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.70.32,Gas Turbine Combustion Air Intake And Exhaust Systems,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.80.30,Diesel Engines,Process / Mechanical,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.29.90.30,Spark Ignited Gas Fuelled Engines,Mechanical / Piping,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.10,Human Factors Engineering in Projects,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.13,Human Factors Engineering - Valve Analysis,Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.14,Human Factors Engineering - Application During Construction,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.18,Human Factors Engineering - Design and Procurement of Skid-Packaged Units,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.19,Human Factors Engineering - Design for Process Safety Critical Tasks,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.20,Human Factors Engineering - Workspace Design,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 30.00.60.21,"Human Factors Engineering - Labeling of Facilities, Equipment & Piping",Piping / Pipeline,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.47.10.30,Assessment of the Fire Safety of Onshore Installations,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.47.10.31,Active Fire Protection Systems and Equipment for Onshore Facilities,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.47.10.32,Fire Fighting Agents and Portable/Mobile Fire Fighting Equipment,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.47.10.33,Fire Fighting Vehicles and Fire Stations,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.00.10.10,Area Classification,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 80.00.10.11,Layout of Onshore Facilities,Safety / HSE,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 31.10.00.31,Noise Control,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 82.00.10.10,Project Quality Assurance,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.71.00.10,Plant Telecommunication NEW REQUIREMENT,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.71.00.11,Telecommunications Standards NEW REQUIREMENT,Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 32.71.00.14,Telecommunications Tower and Guyed Masts NEW REQUIREMENT,Electrical / Instrumentation,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
DEP 82.00.10.30,Engineering Information Specification (EIS),Project / Quality / Documents,PDO Guide to Engineering Standards and Procedures PDF supplied by user,,Reference only - official licensed copy required
